Question ID,Topic,Question Type,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Study Notes
Q97,Maintenance,Practice Question,Easy,"Given the Sling log rotation configuration, which two controls should be used for the rotation of the log? (Choose two.)","A time/date schedule","A maximum file size","A system task","A system cron file","A and B","A time/date schedule and A maximum file size. Sling log rotation uses both time-based rotation (allowing regular rotation intervals at specific times for predictable maintenance) and size-based rotation (preventing logs from growing too large with automatic rotation when size limit is reached for space management).","Log rotation: Use time/date schedule and maximum file size controls"
Q98,Dispatcher,Practice Question,Easy,"After deployment, publishers still show old static pictures. Which action must a DevOps engineer take to fix this issue?","Reset Dispatcher Cache","Restart Dispatcher","Restart Load Balancer","Restart AEM","A","Reset Dispatcher Cache. Static files are cached by dispatcher, and the cache needs clearing to serve new versions. Resetting the dispatcher cache forces it to fetch fresh content from the publishers without requiring service restarts, making it the quickest and correct solution.","Dispatcher troubleshooting: Reset cache to serve updated content"
Q99,Security,Practice Question,Easy,"A client is submitting a form that contains a CSRF token that is passed using the 'CSRF-Token' HTTP header. When looking at the web server access logs the header is printed out, but on the AEM instance the value is not present in the request. What should the DevOps engineer configure to make the values available on the AEM instance?","Add ""Header set CSRF-Token"" in the virtual host configuration","Add 'X-Forwarded-Header: CSRF-Token' in the virtual host configuration","Add the /clientheaders { ""CSRF-Token"" }' in the dispatcher configuration","Add 'filter /0001 {/type ""allow"" /glob ""CSRF-Token"" }' in the dispatcher configuration","C","Add the /clientheaders { ""CSRF-Token"" }' in the dispatcher configuration. The /clientheaders section explicitly allows header pass-through and is the standard way to forward headers. This tells dispatcher to forward the CSRF-Token header to AEM for proper CSRF validation.","Dispatcher config: Use /clientheaders to forward CSRF-Token header"
Q100,OSGi,Practice Question,Hard,"A page cannot be rendered (HTTP response 500). The log file shows a NullPointerException. The source code points to a missing OSGi service ""NavigationService"" The code uses @Reference to inject this service. What are four possible causes of this issue? (Choose four.)","The bundle that contains the implementation of the NavigationService is in state INSTALLED","The bundle that contains the implementation of the NavigationService is in state ACTIVE","The bundle that contains the implementation of the NavigationService is in state RESOLVED","The implementation of the SCR component has unsatisfied references","The bundle that contains the implementation shows different versions in ""Bundle Location"" string compared to ""Version"" as shown in Felix Console","The interface NavigationService and the implementation of the NavigationService reside in different bundles","The @Reference annotation was invalidly used in a class that is not a SCR component","There is more than one implementation of the NavigationService active in the system","A, D, F, G","The bundle that contains the implementation of the NavigationService is in state INSTALLED, The implementation of the SCR component has unsatisfied references, The interface NavigationService and the implementation of the NavigationService reside in different bundles, and The @Reference annotation was invalidly used in a class that is not a SCR component. These four scenarios prevent an OSGi service from being properly registered or injected: bundle not being active, component having unresolved dependencies, issues with interface/implementation bundle separation, or incorrect usage of the @Reference annotation.","OSGi troubleshooting: Bundle states, unsatisfied references, component setup"
Q101,Deployment,Practice Question,Medium,"A DevOps engineer needs to install a package to a remote AEM staging system using continuous deployment. Which two tools and methods should the DevOps engineer use? (Choose two.)","make file with aem-deploy plugin","apache ant aem-deploy plugin","content package maven plugin","curl based script with package manager REST API","C and D","content package maven plugin and curl based script with package manager REST API. The Content Package Maven Plugin is the standard tool for AEM deployment that integrates with CI/CD, while curl with Package Manager REST API provides flexible scripting options for direct interaction with AEM. Both solutions provide remote deployment capability, automation support, and integration with CI/CD.","Package deployment: Use Maven plugin or REST API with curl"
Q102,Deployment,Practice Question,Medium,"Cloning an AEM instance to perform tests on production content, also called back-staging, is often required. Which three must be reconfigured after the cloning is complete? (Choose three.)","The replication and/or flush agent target IP","The clustr_node.id","The run modes","The environment specific OSGi configurations","A, B, D","The replication and/or flush agent target IP, The clustr_node.id, and The environment specific OSGi configurations. After cloning, replication agent IPs must point to new environment's publish/dispatcher to prevent sending to production servers, cluster_node.id must be unique to prevent cluster conflicts, and environment-specific OSGi configurations must match the new environment for proper functioning.","Instance cloning: Reconfigure replication IPs, node ID, and OSGi configs"
Q103,OSGi,Practice Question,Easy,"A DevOps engineer needs to verify that a bundle has been installed correctly. The DevOps engineer points to ""system/console/bundles"" and receives an ""HTTP ERROR: 403"". What is the cause of this error?","The bundle was not installed correctly","An AEM restart is required to perform post-installation actions","The DevOps engineer did not authenticate to the server","The DevOps engineer needs to check the error.log file to find out what happened","C","The DevOps engineer did not authenticate to the server. HTTP 403 indicates forbidden access due to authentication issues. The AEM Web Console (/system/console/bundles) requires administrator permissions to access, so the DevOps engineer must log in using admin credentials before accessing the console.","OSGi console access: Requires authentication for admin access"
Q104,CRX/Oak,Practice Question,Easy,"Which tool should be leveraged to fix a corrupted repository?","oak-core","oak-backup","oak-backup-run","oak-run","D","oak-run is the primary tool used to analyze, check, and fix corrupted AEM Oak repositories. It provides various commands for backup, restore, indexing, and repository consistency checks. Commands like 'java -jar oak-run.jar check <repository-path>' or 'java -jar oak-run.jar repair <repository-path>' can be used to fix repository corruption.","Repository repair: Use oak-run tool for corruption fixes"
Q105,Maintenance,Practice Question,Easy,"When should a DevOps engineer schedule maintenance tasks?","During a backup window","During planned downtimes","During other maintenance tasks","During out of office hours","B","During planned downtimes. Planned downtimes are pre-scheduled periods when maintenance tasks can be performed without disrupting business operations, ensuring minimal impact on users and services while allowing critical maintenance to be completed safely. This ensures proper coordination with stakeholders.","Maintenance scheduling: Use planned downtimes for minimal disruption"
Q106,Deployment,Practice Question,Easy,"What must a DevOps engineer do to install an AEM instance as an author?","Provide java property instance.type=author","Set run mode for author in an OSGI console after the first start","Change the name of the jar file to have author as run mode","Provide the run mode ""author"" on a first installation","D","Provide the run mode ""author"" on a first installation. To install AEM as an author instance, use 'java -jar aem-quickstart.jar -r author'. The run mode must be explicitly provided during the first installation and cannot be changed after installation. This ensures the AEM instance runs as an Author from the very beginning.","AEM installation: Use -r author parameter for author instance"
Q107,Configuration,Practice Question,Medium,"Which three sets of run modes is correct for a supported storage element in AEM? (Choose three.)","crx3,crx3mongomk","crx3,crx3rdb","crx3,crx3oracle","crx3,crx3tarmk","crx3,crx3tar","crx3,crx3mongo","B, D, F","crx3,crx3rdb, crx3,crx3tarmk, and crx3,crx3mongo are the correct run mode combinations for supported storage elements. These represent RDBMS (crx3rdb), TarMK (crx3tarmk), and MongoDB (crx3mongo) storage options. The crx3 prefix indicates CRX3 repository implementation.","Storage run modes: Use crx3rdb, crx3tarmk, or crx3mongo with crx3"
Q108,CI/CD,Practice Question,Medium,"DevOps engineer is configuring a non-production deployment pipeline. The code quality is checked in the build pipeline. A security check is configured in the deployment pipeline to identify any major security issues before a production deployment. Which other check should be executed before deployment to production","An OSGi configuration validity check for the new release","A dispatcher invalidation rule check for replication functionality","A sling models validation check for the new release","A performance check for the actual release functionality","D","A performance check for the actual release functionality. Performance validation is crucial before production as it validates actual runtime behavior, catches performance regressions, tests under real conditions, and is essential before production release. This complements the existing code quality and security checks in the pipeline.","Pipeline quality gates: Add performance check before production"
Q109,Dispatcher,Practice Question,Easy,"When configuring the dispatcher module, what setting is required to make sure the dispatcher is used?","SetModule module-dispatcher","SetHandler dispatcher-module","SetModule handler-dispatcher","SetHandler dispatcher-handler","D","SetHandler dispatcher-handler. This is the Apache configuration directive required to enable the dispatcher module. The SetHandler directive tells Apache to use the dispatcher module to handle requests for the configured location, using the correct handler name 'dispatcher-handler'.","Dispatcher configuration: Use SetHandler dispatcher-handler directive"
Q110,Deployment,Practice Question,Medium,"A DevOps engineer needs to install bundles via content packages for a continuous deployment setup. In which two ways should this be configured? (Choose two.)","Before the deployment of the new bundle, remove the old bundle from JCR as first deployment step to make sure the bundle is updated","To install bundles for a certain runmode only, the folder name can be used to limit environments where a bundle is installed","For an out-of-the-box installation, bundles can be installed from /apps./libs and /etc","The JCR installer will only update the bundle if the filename changes; always use a unique bundle version in the filename","The JCR installer detects bundle changes at arbitrary depths in the JCR tree and automatically deploys those changes bundles","Whenever the JCR installer detects a change of a bundle file, it will install it to the Felix runtime","B and F","To install bundles for a certain runmode only, the folder name can be used to limit environments where a bundle is installed, and Whenever the JCR installer detects a change of a bundle file, it will install it to the Felix runtime. The JCR installer monitors repository folders for changes and automatically deploys bundle changes to the Felix runtime, while folder names can be used with runmode selectors for environment-specific installation.","Bundle deployment: Use folder names for runmode and automatic JCR detection"
Q111,Deployment,Practice Question,Easy,"In the replication agent configuration, what is the purpose of 'Agent User Id'?","To label the replication agent that is shown in the web UI","To authenticate on the publish instance","To set the user that is used to replicate the content to the publish instance","To configure this user to select specific content for the replication","C","To set the user that is used to replicate the content to the publish instance. The Agent User Id specifies the user identity under which the replication process runs, determining permissions and access rights when replicating content from author to publish instances, ensuring only authorized content is replicated based on the user's permissions.","Replication agent: Agent User Id sets replication user permissions"
Q112,Development,Practice Question,Medium,"A DevOps engineer receives a blank page in the browser while the log file prints ""No renderer for extension htm!"". What is a potential cause of this issue?","The content path is not configured to deliver HTML renderings","The apache dispatcher does not send the correct format header","The path for the resource type as declared by the content node does not exist","The resource super type declaration is missing on the content node","C","The path for the resource type as declared by the content node does not exist. The error ""No renderer for extension htm!"" indicates that AEM does not know how to render the requested resource, typically when the resource type assigned to the content node does not have a corresponding rendering script (HTL, JSP, or servlet).","AEM rendering: Missing resource type path causes renderer errors"
Q113,Dispatcher,Practice Question,Medium,"A request, /home_page?tab=1, is received on the dispatcher with a parameter. This request is not cached, but should be. Which configuration in the dispatcher should be added to make sure such requests are cached in the future?","/cacheRequests {/0001 { /glob ""*""/type ""deny"" }/0002 {/glob ""tab"" /type ""permit"" }}","/ignoreUrlParams {/0001 { /glob ""*""/type ""deny"" }/0002 {/glob ""?tab=1"" /type ""allow"" }}","/allowCaching{ /0001 { /glob ""*""/type ""deny"" }/0002 {/glob ""tab"" /type ""cache"" }}","/ignoreUrlParams {/0001 {/glob ""*""/type ""deny""} /0002 {/glob ""tab"" /type ""allow"" }}","D","/ignoreUrlParams {/0001 {/glob ""*""/type ""deny""} /0002 {/glob ""tab"" /type ""allow"" }}. By default, AEM Dispatcher does not cache requests that contain URL parameters unless explicitly configured. This configuration denies all parameters by default and explicitly allows ""tab"" to be ignored for caching, so requests like /home_page?tab=1 will be treated the same as /home_page for caching purposes.","Dispatcher caching: Use /ignoreUrlParams to cache requests with parameters"
Q114,Performance,Practice Question,Medium,"The log files contain the error ""Too many files"", and CRX is not responding. What should a DevOps engineer do to increase the open files limit?","Restart AEM 6.x with a higher number of value in start.sh --fs.file.max=value","AEM 6.x automatically handles such a limit and increase the limit dynamically during the next restart","Set new Java Virtual Machine limits by -Djava.fs.file-max= and restart AEM","Check the CRX process user limit for maximum open files, and run ulimit to set higher values","D","Check the CRX process user limit for maximum open files, and run ulimit to set higher values. The ""Too many files"" error indicates that the operating system has hit the limit for open file descriptors, which is controlled by ulimit settings. The best approach is to check the current limit with 'ulimit -n' and increase it temporarily or permanently via limits.conf.","File descriptor limit: Use ulimit to increase open files limit"
Q115,Performance,Practice Question,Easy,"When configuring the Java Virtual Machine (VM), which setting configures the JVM heap size?","xmx and jvmx","xms and xmx","xss and jvms","xms and jhs","B","xms and xmx. The JVM heap size is configured using -Xms (sets initial heap size) and -Xmx (sets maximum heap size). For example, '-Xms2048m -Xmx4096m' sets initial heap to 2GB and maximum heap to 4GB. These are fundamental JVM memory configuration parameters used in AEM deployments.","JVM configuration: Use -Xms and -Xmx for heap size settings"
Q116,Security,Practice Question,Medium,"How should a DevOps engineer prevent Denial of Service (DoS) attacks against AEM 6.x instances?","By implementing a web application firewall and installing the latest security hotfixes","By configuring Sling, Adobe Dispatcher, a web application firewall, installing the latest security hotfixes and implementing a protected network environment","By leaving the Adobe Dispatcher set to the default configuration and installing the latest security hotfixes","By implementing a protected network environment installing the latest security hotfixes","B","By configuring Sling, Adobe Dispatcher, a web application firewall, installing the latest security hotfixes and implementing a protected network environment. A multi-layered security approach is the best defense against DoS attacks, including Sling configuration for rate limiting, Dispatcher for IP whitelisting and caching, WAF for blocking malicious traffic, security hotfixes for vulnerabilities, and protected network environment for access restrictions.","DoS prevention: Use multi-layered security approach"
Q117,Monitoring,Practice Question,Easy,"When monitoring replication agents, for which two event should a monitoring system provide alerts? (Choose two.)","More than 10,000 items in the queue","403 in the replication log","Queue blocked","200 in the replication log","A and C","More than 10,000 items in the queue and Queue blocked. Large queue indicates replication bottleneck and potential content sync issues requiring intervention, while queue blocked is a critical failure condition that stops content publication and requires immediate attention. These conditions are critical monitoring metrics for maintaining system health.","Replication monitoring: Alert on large queue size and blocked status"
